sentence1	sentence2	paraphrase_types	sentence1_segment_location	sentence2_segment_location	sentence1_tokenized	sentence2_tokenized	id
The new link between Mohammed and Pearl was first reported in Tuesday's editions of The Wall Street Journal.	The US acknowledgment that it suspects that Mohammed killed Pearl was first reported in yesterday's editions of the Journal.	[2, 6, 7, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 6, 7, 7, 7, 2, 2, 2, 2, 7]	[7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6]	"['The', 'new', 'link', 'between', 'Mohammed', 'and', 'Pearl', 'was', 'first', 'reported', 'in', 'Tuesday', ""'s"", 'editions', 'of', 'The', 'Wall', 'Street', 'Journal', '.']"	"['The', 'US', 'acknowledgment', 'that', 'it', 'suspects', 'that', 'Mohammed', 'killed', 'Pearl', 'was', 'first', 'reported', 'in', 'yesterday', ""'s"", 'editions', 'of', 'the', 'Journal', '.\n']"	43b2b34b927641c08250fe9998e6f26a
Later this year, the command will send trainers with soldiers from four North African nations on patrolling and intelligence gathering missions.	This fall the command will send trainers to work with soldiers from four North African nations on patrolling and gathering intelligence.	[2, 6, 7, 0, 0, 0, 0]	[2, 2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7]	[2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 7, 7]	['Later', 'this', 'year', ',', 'the', 'command', 'will', 'send', 'trainers', 'with', 'soldiers', 'from', 'four', 'North', 'African', 'nations', 'on', 'patrolling', 'and', 'intelligence', 'gathering', 'missions', '.']	['This', 'fall', 'the', 'command', 'will', 'send', 'trainers', 'to', 'work', 'with', 'soldiers', 'from', 'four', 'North', 'African', 'nations', 'on', 'patrolling', 'and', 'gathering', 'intelligence', '.\n']	1d9ea18113dd4d319ed3dfd29f4b317a
If the MTA's appeal to a higher court is successful, the $2 bus and subway base fare won't be rolled back.	If the MTA's appeal is successful, the $2 bus and subway base fare won't change.	[2, 6, 7, 0, 0, 0, 0]	[0, 0, 0, 0, 0, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 7]	"['If', 'the', 'MTA', ""'s"", 'appeal', 'to', 'a', 'higher', 'court', 'is', 'successful', ',', 'the', '$', '2', 'bus', 'and', 'subway', 'base', 'fare', 'wo', ""n't"", 'be', 'rolled', 'back', '.']"	"['If', 'the', 'MTA', ""'s"", 'appeal', 'is', 'successful', ',', 'the', '$', '2', 'bus', 'and', 'subway', 'base', 'fare', 'wo', ""n't"", 'change', '.\n']"	70c5070719f046b2be37a9219a3efcdc
The Standard & Poor's 500 Index lost 6.77, or 0.7 percent, to 927.62 as of 10:33 a.m. in New York.	The broad Standard & Poor's 500 Index .SPX shed 0.17 of a point, or just 0.02 percent, to 934.	[2, 6, 7, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 0, 7, 7, 7, 7, 7, 7, 0, 7, 7, 7, 0, 7]	"['The', 'Standard', '&', 'Poor', ""'s"", '500', 'Index', 'lost', '6.77', ',', 'or', '0.7', 'percent', ',', 'to', '927.62', 'as', 'of', '10:33', 'a.m.', 'in', 'New', 'York', '.']"	"['The', 'broad', 'Standard', '&', 'Poor', ""'s"", '500', 'Index', '.SPX', 'shed', '0.17', 'of', 'a', 'point', ',', 'or', 'just', '0.02', 'percent', ',', 'to', '934', '.\n']"	29ba4e939b6b494aa54f18d451778711
It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.	Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.	[6, 7, 0, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 6]	[7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	"['It', 'will', 'take', 'time', 'to', 'oust', 'die-hard', 'remnants', 'of', 'Saddam', 'Hussein', ""'s"", 'deposed', 'regime', 'in', 'Iraq', ',', 'Defense', 'Secretary', 'Donald', 'H.', 'Rumsfeld', 'said', 'Tuesday', '.']"	"['Defense', 'Secretary', 'Donald', 'H.', 'Rumsfeld', 'said', 'Tuesday', 'it', 'will', 'take', 'time', 'to', 'locate', 'die-hard', 'remnants', 'of', 'Saddam', 'Hussein', ""'s"", 'deposed', 'regime', 'in', 'Iraq', '.\n']"	f1921eb84b1e4386ab362e97f23e69ee
The bill says that a woman who undergoes such an abortion couldn't be prosecuted.	A woman who underwent such an abortion could not be prosecuted under the bill.	[1, 2, 6, 7, 0, 0, 0]	[7, 7, 7, 0, 6, 6, 6, 1, 6, 6, 6, 2, 2, 6, 6, 0]	[6, 6, 6, 1, 6, 6, 6, 2, 2, 6, 6, 7, 7, 7, 0]	"['The', 'bill', 'says', 'that', 'a', 'woman', 'who', 'undergoes', 'such', 'an', 'abortion', 'could', ""n't"", 'be', 'prosecuted', '.']"	['A', 'woman', 'who', 'underwent', 'such', 'an', 'abortion', 'could', 'not', 'be', 'prosecuted', 'under', 'the', 'bill', '.\n']	be483717f10a4252bad277adbb37af19
The exam contains four sections and tests a students knowledge of algebra and geometry as well as probability and statistics.	The test, in four sections, includes algebra and geometry, along with some questions on probability and statistics.	[2, 5, 6, 7, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['The', 'exam', 'contains', 'four', 'sections', 'and', 'tests', 'a', 'students', 'knowledge', 'of', 'algebra', 'and', 'geometry', 'as', 'well', 'as', 'probability', 'and', 'statistics', '.']	['The', 'test', ',', 'in', 'four', 'sections', ',', 'includes', 'algebra', 'and', 'geometry', ',', 'along', 'with', 'some', 'questions', 'on', 'probability', 'and', 'statistics', '.\n']	0b01f77284994959a9f663c50fd9d3b4
The bodies of 17 undocumented immigrants who suffocated in a stifling trailer were discovered yesterday at a south Texas truck stop where smugglers had abandoned them.	The bodies of 18 illegal Mexican immigrants who died from suffocation and heat exhaustion were discovered on Wednesday in a packed tractor trailer abandoned at a rest stop.	[1, 2, 4, 6, 7, 0, 0]	[7, 7, 7, 7, 2, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 4, 4, 7, 7, 4, 4, 4, 4, 4, 4, 4, 7]	[7, 7, 7, 0, 2, 7, 7, 7, 0, 0, 1, 7, 7, 7, 7, 7, 0, 0, 7, 7, 7, 7, 7, 4, 4, 4, 4, 4, 7]	['The', 'bodies', 'of', '17', 'undocumented', 'immigrants', 'who', 'suffocated', 'in', 'a', 'stifling', 'trailer', 'were', 'discovered', 'yesterday', 'at', 'a', 'south', 'Texas', 'truck', 'stop', 'where', 'smugglers', 'had', 'abandoned', 'them', '.']	['The', 'bodies', 'of', '18', 'illegal', 'Mexican', 'immigrants', 'who', 'died', 'from', 'suffocation', 'and', 'heat', 'exhaustion', 'were', 'discovered', 'on', 'Wednesday', 'in', 'a', 'packed', 'tractor', 'trailer', 'abandoned', 'at', 'a', 'rest', 'stop', '.\n']	004ee47d35854ed8833aa214ff9d665a
Only one third of high-speed trains within France were running, national rail company Societe Nationale des Chemins de Fer said.	One third of high-speed trains within France will run, national railway company Societe Nationale des Chemins de Fer estimates.	[1, 2, 6, 7, 0, 0, 0]	[7, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0]	[7, 7, 7, 7, 7, 7, 7, 1, 1, 7, 7, 2, 7, 7, 7, 7, 7, 7, 7, 1, 7]	['Only', 'one', 'third', 'of', 'high-speed', 'trains', 'within', 'France', 'were', 'running', ',', 'national', 'rail', 'company', 'Societe', 'Nationale', 'des', 'Chemins', 'de', 'Fer', 'said', '.']	['One', 'third', 'of', 'high-speed', 'trains', 'within', 'France', 'will', 'run', ',', 'national', 'railway', 'company', 'Societe', 'Nationale', 'des', 'Chemins', 'de', 'Fer', 'estimates', '.\n']	a8186b2944fc4c74981ea7a890b695c9
For the first quarter, HP pulled in $2.94 billion and captured 27.9 percent of the market.	H-P came in second with nearly $3.32 billion in sales and 26 percent of the market's revenue.	[2, 3, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 6, 0, 0, 0, 6, 7, 7, 7, 6, 7, 7, 3, 3, 7]	[6, 6, 6, 6, 6, 7, 0, 7, 7, 6, 6, 7, 6, 7, 7, 3, 3, 3, 3, 7]	['For', 'the', 'first', 'quarter', ',', 'HP', 'pulled', 'in', '$', '2.94', 'billion', 'and', 'captured', '27.9', 'percent', 'of', 'the', 'market', '.']	"['H-P', 'came', 'in', 'second', 'with', 'nearly', '$', '3.32', 'billion', 'in', 'sales', 'and', '26', 'percent', 'of', 'the', 'market', ""'s"", 'revenue', '.\n']"	58a822db627c49d785bec714a1c64e29
Toll, Australia's second-largest transport company, last week offered NZ75 a share for Tranz Rail.	Toll last week offered to buy the company for NZ75c a share, or $NZ158 million.	[2, 5, 6, 7, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 6, 0, 0, 2, 2, 2, 7]	[7, 7, 7, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 7]	"['Toll', ',', 'Australia', ""'s"", 'second-largest', 'transport', 'company', ',', 'last', 'week', 'offered', 'NZ75', 'a', 'share', 'for', 'Tranz', 'Rail', '.']"	['Toll', 'last', 'week', 'offered', 'to', 'buy', 'the', 'company', 'for', 'NZ75c', 'a', 'share', ',', 'or', '$', 'NZ158', 'million', '.\n']	ba4e2818d8e6481eb9f659755c778348
By 10 p.m., Claudette was centered about 320 miles east of Brownsville, with maximum sustained winds of 65 mph, 9 mph shy of hurricane strength.	Early Monday, the center of Claudette was about 300 miles east of Brownsville, with maximum sustained wind blowing at 65 mph, 9 mph shy of hurricane strength.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 0, 1, 1, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	[6, 6, 6, 0, 1, 0, 0, 0, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['By', '10', 'p.m.', ',', 'Claudette', 'was', 'centered', 'about', '320', 'miles', 'east', 'of', 'Brownsville', ',', 'with', 'maximum', 'sustained', 'winds', 'of', '65', 'mph', ',', '9', 'mph', 'shy', 'of', 'hurricane', 'strength', '.']	['Early', 'Monday', ',', 'the', 'center', 'of', 'Claudette', 'was', 'about', '300', 'miles', 'east', 'of', 'Brownsville', ',', 'with', 'maximum', 'sustained', 'wind', 'blowing', 'at', '65', 'mph', ',', '9', 'mph', 'shy', 'of', 'hurricane', 'strength', '.\n']	94fc0cb4aff14a97afc6eba0b3e628d0
The deal is subject to N2H2 approval and is expected to be completed by year's end.	The deal is subject to N2H2 approval and is expected to be complete during the final calendar quarter of 2003.	[1, 2, 6, 0, 0, 0, 0]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 2, 2, 2, 2, 6]	[6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 1, 2, 2, 2, 2, 2, 2, 2, 6]	"['The', 'deal', 'is', 'subject', 'to', 'N2H2', 'approval', 'and', 'is', 'expected', 'to', 'be', 'completed', 'by', 'year', ""'s"", 'end', '.']"	['The', 'deal', 'is', 'subject', 'to', 'N2H2', 'approval', 'and', 'is', 'expected', 'to', 'be', 'complete', 'during', 'the', 'final', 'calendar', 'quarter', 'of', '2003', '.\n']	1f66f19d6095418b861663ece2d2a6c7
A former candidate for governor of New York, he styled himself an advocate of better corporate governance.	Mr. McCall, who ran unsuccessfully for governor of New York in 2002, styled himself an advocate of better corporate governance.	[2, 4, 6, 7, 0, 0, 0]	[6, 6, 6, 4, 4, 4, 4, 4, 4, 4, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 7, 7, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6]	['A', 'former', 'candidate', 'for', 'governor', 'of', 'New', 'York', ',', 'he', 'styled', 'himself', 'an', 'advocate', 'of', 'better', 'corporate', 'governance', '.']	['Mr.', 'McCall', ',', 'who', 'ran', 'unsuccessfully', 'for', 'governor', 'of', 'New', 'York', 'in', '2002', ',', 'styled', 'himself', 'an', 'advocate', 'of', 'better', 'corporate', 'governance', '.\n']	6aba657bfd5c482ab192689af4b0d8b9
Researchers found that people 65 and older who had fish once a week had a 60% lower risk of Alzheimer's than those who never or rarely ate fish.	Older people who eat fish at least once a week could cut their risk of Alzheimer's by more than half, a study suggests.	[1, 2, 6, 7, 0, 0, 0]	[2, 2, 0, 7, 7, 0, 7, 7, 2, 7, 7, 7, 7, 1, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7]	[7, 7, 7, 2, 7, 7, 7, 7, 7, 7, 1, 1, 0, 7, 7, 7, 7, 0, 7, 7, 7, 0, 0, 2, 2, 7]	"['Researchers', 'found', 'that', 'people', '65', 'and', 'older', 'who', 'had', 'fish', 'once', 'a', 'week', 'had', 'a', '60', '%', 'lower', 'risk', 'of', 'Alzheimer', ""'s"", 'than', 'those', 'who', 'never', 'or', 'rarely', 'ate', 'fish', '.']"	"['Older', 'people', 'who', 'eat', 'fish', 'at', 'least', 'once', 'a', 'week', 'could', 'cut', 'their', 'risk', 'of', 'Alzheimer', ""'s"", 'by', 'more', 'than', 'half', ',', 'a', 'study', 'suggests', '.\n']"	b7210f76916041e9aa63e80f6ac78d56
"It's one of the nicer rounds I have ever played and the best chance I have ever had of a 59."""	"""That's one of the nicer rounds I've ever played, and the best chance I've ever had for a 59."	[2, 5, 6, 0, 0, 0, 0]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	[5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5]	"['It', ""'s"", 'one', 'of', 'the', 'nicer', 'rounds', 'I', 'have', 'ever', 'played', 'and', 'the', 'best', 'chance', 'I', 'have', 'ever', 'had', 'of', 'a', '59', '.', ""''""]"	"['``', 'That', ""'s"", 'one', 'of', 'the', 'nicer', 'rounds', 'I', ""'ve"", 'ever', 'played', ',', 'and', 'the', 'best', 'chance', 'I', ""'ve"", 'ever', 'had', 'for', 'a', '59', '.\n']"	25270cfeb02d4a7387ebb9eb1db75156
Officials with North Carolina Speedway at Rockingham could not be reached.	NASCAR officials could not be reached for comment Tuesday.	[6, 7, 0, 0, 0, 0, 0]	[7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 7, 7, 7, 7, 7, 7, 7, 7, 7]	['Officials', 'with', 'North', 'Carolina', 'Speedway', 'at', 'Rockingham', 'could', 'not', 'be', 'reached', '.']	['NASCAR', 'officials', 'could', 'not', 'be', 'reached', 'for', 'comment', 'Tuesday', '.\n']	36c3d8fb35014620a2dea994f9f85023
A year or two later, 259, or 10 per cent, of the youths reported that they had started to smoke, or had taken just a few puffs.	Within two years, 259, or 10 percent, of the youths reported they had started to smoke or had at least taken a few puffs.	[2, 5, 6, 7, 0, 0, 0]	[2, 2, 2, 2, 2, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7, 6, 6, 6, 6, 6, 0, 6, 6, 6, 2, 6, 6, 6, 6]	[2, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 7]	['A', 'year', 'or', 'two', 'later', ',', '259', ',', 'or', '10', 'per', 'cent', ',', 'of', 'the', 'youths', 'reported', 'that', 'they', 'had', 'started', 'to', 'smoke', ',', 'or', 'had', 'taken', 'just', 'a', 'few', 'puffs', '.']	['Within', 'two', 'years', ',', '259', ',', 'or', '10', 'percent', ',', 'of', 'the', 'youths', 'reported', 'they', 'had', 'started', 'to', 'smoke', 'or', 'had', 'at', 'least', 'taken', 'a', 'few', 'puffs', '.\n']	c101887527c34db9b84847c62955750e
"""It's probably not the easiest time to take over the shuttle program,"" he added, ""but I look forward to the challenge."	"""It is probably not the easiest time to come in and take over the shuttle program, but then again, I look forward to the challenge,"" he said."	[2, 6, 7, 0, 0, 0, 0]	[7, 2, 2, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 2, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7]	[0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 0, 0, 2, 0]	"['``', 'It', ""'s"", 'probably', 'not', 'the', 'easiest', 'time', 'to', 'take', 'over', 'the', 'shuttle', 'program', ',', ""''"", 'he', 'added', ',', '``', 'but', 'I', 'look', 'forward', 'to', 'the', 'challenge', '.']"	"['``', 'It', 'is', 'probably', 'not', 'the', 'easiest', 'time', 'to', 'come', 'in', 'and', 'take', 'over', 'the', 'shuttle', 'program', ',', 'but', 'then', 'again', ',', 'I', 'look', 'forward', 'to', 'the', 'challenge', ',', ""''"", 'he', 'said', '.\n']"	f188c6be4a7b4b39ba5b3cf18def1882
